"iso","PSE030","PVH140","PVN010","PVH010","PSE210"
"AFG","2013","2013",NA,"2005","2008"
"BFA","2013","2013","2011","2005","2009"
"CMR","2013","2013","2011","2005","2007"
"CAF","2013","2013","2011","2005","2008"
"TCD","2013","2013","2011","2005","2011"
"COL","2013","2013","2011","2005","2012"
"CIV","2013","2013","2011","2005","2008"
"COD","2013","2013",NA,"2005","2006"
"ERI","2013","2013","2011","2005",NA
"ETH","2013","2013","2011","2005","2011"
"HTI","2013","2013","2011","2005","2001"
"IDN","2013","2013","2011","2005","2011"
"IRQ","2013","2013","2011","2005","2012"
"JOR","2013","2013","2000","2005","2010"
"LBN","2013","2013",NA,"2005",NA
"MLI","2013","2013","2011","2005","2010"
"NER","2013","2013","2011","2005","2011"
"NGA","2013","2013","2011","2005","2010"
"PAK","2013","2013","2011","2005","2011"
"PSE","2012","2013","2011","2005","2009"
"SSD","2013","2013",NA,"2005","2009"
"LKA","2013","2013","2011","2005","2010"
"SDN","2013","2013","2011","2005","2009"
"SYR","2012","2013","2011","2005","2004"
"UKR","2013","2013",NA,"2005","2010"
"YEM","2013","2013","2011","2005","2005"
"MMR",NA,"2013",NA,"2005",NA
"SOM",NA,"2013",NA,"2005",NA
